"card-img href","card-img src","card-rating","line-clamp","product-main-price","line-clamp href 2","md-text-base","md-text-xs","md-text-base 2","md-text-xs 2"
"https://uk.webuy.com/product-detail?id=711719409199&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=1","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/711719409199_l.jpg","4.8","God of War Ragnarok (No DLC)","£22.00","","","","",""
"https://uk.webuy.com/product-detail?id=711719720690&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=2","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/711719720690_l.jpg","4.7","Horizon Forbidden West (No DLC)","£22.00","","","","",""
"https://uk.webuy.com/product-detail?id=711719020370&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=3","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/711719020370_l.jpg","4.7","Ghost of Yotei","£52.00","","","","",""
"https://uk.webuy.com/product-detail?id=0711719570264&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=4","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/0711719570264_l.jpg","4.7","Last of Us Part II Remastered, The","£28.00","","","","",""
"https://uk.webuy.com/product-detail?id=811949034472&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=5","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/811949034472_l.jpg","3.9","Callisto Protocol, The","£6.00","","","","",""
"https://uk.webuy.com/product-detail?id=711719835929&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=6","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/711719835929_l.jpg","4.6","Spider-Man: Miles Morales (No DLC)","£15.00","","","","",""
"https://uk.webuy.com/product-detail?id=5026555438650&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=7","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5026555438650_l.jpg","","WWE 2K25 (No DLC)","£22.00","","","","",""
"https://uk.webuy.com/product-detail?id=3307216292654&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=8","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3307216292654_l.jpg","","Assassin's Creed Shadows (No DLC)","£30.00","","","","",""
"https://uk.webuy.com/product-detail?id=5026555439046&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=9","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/5026555439046_l.jpg","4.2","Mafia: The Old Country","£25.00","","","","",""
"https://uk.webuy.com/product-detail?id=3307216177005&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=10","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/3307216177005_l.jpg","4.2","Far Cry 6 (No DLC)","£10.00","","","","",""
"https://uk.webuy.com/product-detail?id=711719571681&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=11","https://uk.static.webuy.com/product_images/Gaming/Playstation5%20Software/711719571681_l.jpg","4.7","Spider-Man 2 (No DLC)","£30.00","","","","",""
"https://uk.webuy.com/product-detail?id=3307216174776&categoryName=PLAYSTATION5-GAMES&superCatName=GAMING&title=&queryID=EEBB0E0F96C066805EBAC721893979FC&position=12","https://uk.static.webuy.com/resize_images/Gaming/Playstation5%20Software/3307216174776_l.jpg","4.5","Watch Dogs Legion (No DLC)","£5.00","","","","",""
